hor,date,introduce,location,price,review,star

弗朗索瓦·肖莱, /2018-08-01,"《Python深度学习》由Keras之父、现任Google人工智能研究员的Franc?ois Chollet执笔，详尽展示了用Python、Keras、TensorFlow进行深度学习的探索实践，涉及计算机视觉、自然语言处理、生成式模型等应用。在学习完本书后，读者将了解深度学习、机器学习和神经网络的关键概念，具备搭建自己的深度学习环境、建立图像识别模型、生成图像和文字等能力，学会解决现实世界中的深度学习问题。除此之外，本书还深刻剖析了当前的""人工智能热""，从理性的视角展望了深度学习在未来的可能性。 ● 30多个代码示例，带你全面掌握如何用深度学习解决实际问题 ● Keras框架速成的明智之选 ● 夯实深度学习基础，在实践中培养对深度神经网络的良好直觉 ● 无须机器学习经验和高等数学背景 ""本书在当前的'人工智能热'和深度学习的本来面目之间架起了一座桥梁。""--Peter Rabinovitch，云平",人民邮电出版社,¥82.10,4条评论,width: 90%;

何之源, /2018-03-01,"1.本书以TensorFlow为工具，从基础的MNIST手写体识别开始，介绍了基础的卷积神经网络、循环神经网络，还包括正处于前沿的对抗生成网络、深度强化学习等课题,代码基于TensorFlow 1.4.0 及以上版本。 2.书中所有内容由21个可以动手实验的项目组织起来，并在其中穿插TensorFlow的教学，让你可以在实践中比较轻松地学习到深度学习领域的基础知识，掌握TensorFlow的使用方法，并积累丰富的深度学习实战经验。 3.通过本书，可以学到： 在动手实践中快速入门深度学习领域。 通过实验快速掌握TensorFlow的操作方法。 掌握卷积神经网络、循环神经网络、对抗生成网络和深度强化学习等深度学习积累丰富的深度学习实战项目，如图像分类、目标检测、人脸识别、图像生成、文本生成、序列分类、时间序列预测等。 学习TensorFlow的一些新特性，如TimeSeries模块、RNNCell等。",电子工业出版社,¥75.80,1078条评论,width: 90%;

焦李成, /2017-07-01,1） 系统讲解深度神经网络的基础理论与算法，包括深度前馈神经网络、深度卷积神经网络、深度堆栈神经网络、深度递归神经网络、深度生成网络、深度融合网络等。七个G资源请加QQ群196832021获取2） 系统论述常用深度学习平台在高光谱图像、自然图像、SAR与极化SAR影响等领域的典型应用。3）展望深度学习发展的历史图、前沿方向及*进展。,清华大学出版社,¥110.10,2089条评论,width: 90%;

美团算法团队, /2018-08-01,美团科学家张锦懋作序推荐，美团技术委员会执行zhu席刘彭程以及美团科学家、副总裁夏华夏倾力推荐 美团AI O2O智慧结晶，机器学习算法落地实践，内容涵盖搜索、推荐、风控、计算广告、图像处理领域 作者来源于一线资-深工程师，内容非常接地气，可指导开发一线的工程师,人民邮电出版社,¥54.50,6条评论,width: 80%;

李金洪, /2018-02-25,磁云科技创始人 / *终身荣誉技术顾问李大学推荐 创客总部 / 创客共赢基金合伙人李建军推荐 一线研发工程师以14年开发经验的视角全面解析TensorFlow应用 涵盖数值、语音、语义、图像等多个领域96个有较高应用价值的深度学习案例 赠送12套同步配套教学视频 113套源代码文件（带配套样本） 内容全面，应用性强，从有监督学习到半监督学习，从简单的数据分类到语音、语言和图像分类乃至样本生成等一系列前沿技术，均有介绍 语言通俗易懂，拒绝生僻的术语，拒绝生僻的公式符号，落地性强 穿插了几十个需要读者注意的知识要点和难点，分享作者积累的宝贵经验,机械工业出版社,¥95.00,1074条评论,width: 90%;

佩德罗, /2016-12-30,比尔 盖茨年度荐书！《终极算法》近20年人工智能领域*轰动性的著作！揭秘机器学习的终极逻辑，全景勾勒人工智能的商业未来。《乔布斯传》作者沃尔特 艾萨克森、图灵奖得主朱迪亚 珀尔、中国大数据领航人车品觉、今日头条首席算法架构师曹欢欢 倾力推荐！ Google X、微软研究院 密切关注！ 如果你先想了解人工智能，那么推荐佩德罗 多明戈斯所著的《终极算法》，非常值得一读。 比尔 盖茨,中信出版社,¥46.90,10900条评论,width: 90%;

Kurzweil, /2011-10-01,一部预测人工智能和科技未来的奇书。在《奇点临近》中，库兹韦尔通过将进化划分为六大纪元，探讨和分析了科学发展趋势。 在《奇点临近》中，库兹韦尔通过将进化划分为六大纪元，探讨和分析了科学发展趋势。演绎并预测了科技发展的未来。他大胆预测： 21世纪30年代：人类大脑信息上传成为可能 21世纪40年代：人体3.0升级版出现：通过基因、纳米、机器人技术使人体进化成非肉体 的、可以随意变形的形态。人们大多数时间沉浸在虚拟现实里（像电影《黑客帝国》所描述的那样）。 2045年：奇点来临，人工智能完全超越人类智能，人类历史将彻底改变。 2045年之后：宇宙觉醒，为了超越计算机的局限性。人机智能将物质转化为超级计算机，*终整个宇宙变成一个超级智能，这种智能可以改变目前已知的物理定律,机械工业出版社,¥47.60,19923条评论,width: 90%;

Alexander, /2017-04-01,机器学习正在迅速成为数据驱动型世界的一个bi备模块。许多不同的领域，如机器人、医学、零售和出版等，都需要依赖这门技术。通过阅读 Python机器学习实践指南 ，你将学习如何一步步构建真实的机器学习应用程序。 Python机器学习实践指南 以通俗易懂，简洁明了的方式，教你如何使用机器学习来收集、分析并操作大量的数据。通过易于理解的项目，本书讲解如何处理各种类型的数据、如何以及何时应用不同的机器学习技术，包括监督学习和无监督学习。本书中的每个项目都同时提供了教学和实践，你将学习如何使用聚类技术来发现低价的机票，以及如何使用线性回归找到一间便宜的公寓 。 Python机器学习实践指南适合的读者包括了解数据科学的Python程序员、数据科学家、架构师，以及想要构建完整的、基于Python的机器学习系统的人们。 通过阅读Python机器学,人民邮电出版社,¥66.20,5105条评论,width: 90%;

张玉宏, /2018-07-01,零入门。本书在介绍深度学习时，也介绍了Python、TensorFlow、M-P模型、感知机等神经网络等基础知识，从而可以让读者零基础入门。 高可读。有别于其他同类书籍的深奥难懂，本书配合近300幅手绘图片，一图胜千言，辅以大量的哲理故事，通俗易懂，独辟蹊径。 重实战。除了理论部分的讲解不落窠臼，本书还重视实战，列举了大量具有启发意义的实战案例，循序渐进，让读者通过实战获得成就感。 抓前沿。本书紧抓领域前沿，Geoffrey Hinton的新研究成果 神经胶囊网络，本书详细解读，辅以实战，让读者能够站在科研前沿。,电子工业出版社,¥122.90,40条评论,width: 100%;

王骥, /2018-04-01,5大特色 1.极具挑战性：置疑过往80%以上有关未来的推测、论断，抑或构成否决。2.极接地气： 数以百计的问题，直追 人心深处的焦虑 ，且故事性强。3.极具颠覆性：60多项颠覆性观点，让你脑洞大开。4.30余门学科、前沿科技：跨界交融，深度思索与推演。5.刁钻的视角、恢弘的文风：极近事物本原，展示磅礴瑰丽的未来场景。6大主题1.如今，你终日劳碌，为何收获不多？原来是社会低效、浪费、不透明与非对称性计酬等吞噬掉了你近90%的价值 未来，区块链等黑科技被深度运用，将会如何替你追算？2.未来，数量庞大的人类工作、工种将会被淘汰，抑或被机器替代 不过，机遇大于挑战：人类或将开启 让90%的人彻底摆脱无用阶级 的伟大旅程，而绝非沦为 无用 。如何洞悉？3.未来，互联网或将被替代，世界演变成 超级物联 和 超级虚拟 两大时空（空间 追溯万物时间,电子工业出版社,¥55.70,800条评论,width: 90%;

彭伟, /2018-05-01,《揭秘深度强化学习 人工智能机器学习技术丛书》是一本详细介绍深度强化学习算法的入门类图书，涉及深度学习和强化学习的相关内容，是人工智能*前沿的研究方向。非常适合想在下一代技术领域立足的人工智能和机器学习算法从业者学习和参考。 机器学习的一个分支是神经网络；神经网络模拟人的大脑，形成神经网络模型，它可以包括很多层次，一般来讲层次越深学习效果越好，很多层的神经网络就是深度学习。 在传统的机器学习中，主要分为非监督学习（unsupervised learning）、监督学习（supervised leaning）和强化学习。强化学习是对决策的学习，简单来讲，强化学习就是用奖励机制，自己调节参数，让算法越来越聪明。 深度强化学习，研究的是如何通过深度学习的方法来解决强化学习的问题。也就是深度学习和强化学习的结合。 《揭秘深度强化学习,水利水电出版社,¥70.90,360条评论,width: 100%;

黄文坚, /2017-02-01,更多计算机好书请关注： 电子工业出版社自营店 《TensorFlow实战》是由PPmoney大数据算法总监黄文坚和美国Uptake数据科学家唐源倾力原创的新书。本书是Google TensorFlow研发团队内部力荐的教程，两位作者均是TensorFlow开发者，其中唐源是TensorFlow研发团队的Committer。本书结合了大量代码实例，深入浅出地介绍了如何使用TensorFlow。 代码基于TensorFlow 1.0版API（读者可登录博文视点官网http://www.broadview.com.cn/下载书中大段源代码） 深度剖析如何用TensorFlow实现主流神经网络： - AutoEncoder - MLP - CNN（AlexNet，VGGNet，Inception Net，ResNet） - Word2Vec - RNN（LSTM，Bi-RNN） - Deep Reinforcement Learning（Policy Network、Value Network） 详述TensorBoard、多GPU并行、分布式并行等组件的使用方法 TF.Learn从入门到精通，TF.Contrib详解,电子工业出版社,¥75.80,5913条评论,width: 90%;

尼克, /2017-12-01,本书全面讲述人工智能的发展史，几乎覆盖人工智能学科的所有领域，包括人工智能的起源、自动定理证明、专家系统、神经网络、自然语言处理、遗传算法、深度学习、强化学习、超级智能、哲学问题和未来趋势等，以宏阔的视野和生动的语言，对人工智能进行了全面回顾和深度点评。 本书作者和书中诸多人物或为师友或相熟相知，除了详实的考证还有有趣的轶事。本书既适合专业人士了解人工智能鲜为人知的历史，也适合对人工智能感兴趣的大众读者作为入门的向导。,人民邮电出版社,¥33.80,2887条评论,width: 100%;

彭冬, /2018-07-01,直接来自新浪微博智能运维团队多年前瞻探索与生产实践，技术思路可落地，解决方案有说服力。 面向运维热点方向，详细分析底层原理，全面梳理技术体系，完整呈现从方法创新到工具化实践。 以微博监控为例，从运维平台大数据处理到架构设计原理，从运维工程师到自动化智能监控专家。 有 AIOps 模型|算法，有异常检测|根因分析|时序预测等运维实践，完美结合工程架构与算法实践。,电子工业出版社,¥75.80,6条评论,width: 100%;

张竞宇, /2018-06-01,顺应AI时代大潮，为产品经理提供进阶、修炼的良机！让你成为一流的人工智能产品经理！成为人工智能产品经理，从本书开始。,电子工业出版社,¥56.60,98条评论,width: 80%;

李嘉璇, /2017-05-01,- 领导 谷歌大脑 的工程师Jeff Dean发来寄语 - 李航、余凯等人工智能领域专家倾力推荐 - 基于TensorFlow 1.1，包揽TensorFlow的新特性 - 技术内容全面，实战案例丰富，视野广阔 - 人脸识别、语音识别、图像和语音相结合等热点一应俱全 TensorFlow是深度学习的zui流行的框架之一，极适合新手入门。谷歌公司正致力于建立一个相关软件和机器学习模型的开源生态系统，这是人工智能发展的技术风口。 本书基于TensorFlow1.1版本，深入TensorFlow基础原理、设计理念、编程模型、源码分析和模型构建、工业界应用、大规模数据训练等。全书分为基础篇、实战篇和提高篇三部分。 基础篇 人工智能入门，学习深度学习的方法。 TensorFlow基础原理、设计架构和编程模型。 常用API、批标准化、模型的存储与加载、队列及线程、实现一个自定义OP。 TensorBorad可视化的全面解析。 源码分,人民邮电出版社,¥75.80,3266条评论,width: 90%;

高翔, /2017-04-01,适读人群：本书适合对SLAM感兴趣的读者阅读，也适合有志于从事计算机视觉、机器人研究等领域的广大学生阅读，可作为SLAM技术的入门教材。 SLAM技术是全自动无人驾驶、无人机、机器人等人工智能产品的核心技术之一。 作者是SLAM领域非常杰出的青年专家。 书中不仅有深入浅出的讲解，同时注重理论和实践结合，大大降低了国内学生和相关从业者的进入门槛。,电子工业出版社,¥72.00,1729条评论,width: 90%;

郑捷, /2015-10-01,本书围绕神经网络、智能推理、矩阵计算三大主线，提供近25个经典的算法讲解。解剖有代表性的算法库：Scikit-Learn算法库、OpenCV机器视觉、Theano深度学习库。作为本土原创图书，本书更符合国内人的阅读习惯，适合作为机器学习算法设计的入门读物。,电子工业出版社,¥84.50,1483条评论,width: 90%;

魏贞原, /2018-01-01,实践、实践、实践 本书通过不同的例子展示机器学习在具体项目中的应用和实践经验 使用 scikit-learn 作为编程框架，强调简单、快速地建立模型,电子工业出版社,¥56.60,461条评论,width: 90%;

杉山将, /2015-04-01,187张图解轻松入门 提供可执行的Matlab程序代码 覆盖机器学习中*经典、用途*广的算法 专业实用：东京大学教授、机器学习权威专家执笔，浓缩机器学习的关键知识点 图文并茂：187张图示帮助理解，详略得当，为读懂大部头开路。 角度新颖：基于*小二乘法讲解各种有监督学习的回归和分类算法，以及无监督学习算法。 实战导向：配有可执行的MATLAB程序代码，边学习边实践。,人民邮电出版社,¥33.80,3253条评论,width: 90%;

雷·库兹韦尔, /2016-03-01,美国国家技术奖获得者、奇点大学校长、谷歌公司工程总监雷库兹韦尔**力作。这是一部洞悉未来思维模式、全面解析 人工智能 创建原理的颠覆力作。库兹韦尔对于大脑和人工智能的理解，将对我们生活的方方面面、各行各业，以及我们有关未来的设想产生巨大的影响。库兹韦尔通过一系列推理告诉我们，我们有能力创造超越人类智能的非生物智能。 湛庐文化联合权威机构中国人工智能学会特设专家委员会！该专家委员会包括中国工程院院士李德毅、驭势科技（北京）有限公司联合创始人兼CEO吴甘沙、地平线机器人技术创始人余凯、IBM中国研究院院长沈晓卫、国际人工智能大会(IJCAI)常务理事杨强、科大讯飞研究院院长胡郁、中国人工智能学会秘书长王卫宁等专家学者，他们将以自身深厚的专业实力、卓越的洞察力和深远的影响力，对这些优秀图书进行,浙江人民出版社,¥55.10,5544条评论,width: 100%;

Laurens, /2016-06-01,内容由浅入深，不管初学者还是资深玩家，都可以从中获益； 2.实例教学，更容易理解，提供了150多个搭建和编程的挑战题目，并且附带了很多有趣的机器人任务，用来激发读者的兴趣和创造力。鼓励你更有创造力地思考，并把学到的知识应用到创造你自己的机器人上。 3.用《乐高机器人EV3探索书》作为指南，你很快就能自己创造出出色的作品！,人民邮电出版社,¥85.40,2999条评论,width: 100%;

Adam, /2018-04-01,《纽约时报》、美国亚马逊畅销书；解密正在全面爆发的区块链、人工智能和数字货币等黑科技，跟紧未来趋势，用技术重构世界；莎士奇亚 萨森、布莱恩 伊诺等大咖力荐；独特的表现手法，科幻大片般的既视感，是一本你一定爱读的黑科技之书。,电子工业出版社,¥74.90,513条评论,width: 90%;

胡振波, /2018-06-01,系统介绍RISC-V指令集架构。 结合实际RISC-V开源实例进行教学。 深入剖析RISC-V处理器的微架构以及代码实现。 使读者能够快速掌握并轻松使用RISC-V架构处理器。 通过学习实例蜂鸟E200的Verilog代码，您将能成为一名合格的数字IC设计工程师。通过学习本书推荐的完整开源SoC平台，您也可以快速搭建FPGA原型平台，运行完整的软件实例。,人民邮电出版社,¥95.00,251条评论,width: 100%;

海金, /2011-03-01,相关阅读 奇点临近 神经网络与机器学习 人工智能：计算Agent基础,机械工业出版社,¥75.80,3730条评论,width: 90%;

山下隆义, /2018-05-01,1.实用 136张图 60段代码帮助理解相关理论和工具的使用方法。可作为专业理论书籍、参考文献的辅助读物随时翻阅 2.专业 浓缩深度学习的关键知识点，内容涉及神经网络、卷积神经网络、受限玻尔兹曼机、自编码器、泛化能力的提高等。同时辅以代码，介绍了Theano、Pylearn2、Caffe、DIGITS、Chainer和TensorFlow等深度学习工具的安装和使用方法。 3.易懂 图文并茂，知识点清晰直观、便于理解。全彩印刷、版式精美，技术书也可赏心悦目。,人民邮电出版社,¥40.70,254条评论,width: 100%;

伯特霍尔德·霍恩, /2014-08-01,这本书是计算机视觉的“圣经”！如果任何人想要学习计算机视觉的基本内容，一定要以这本书作为起始点。千万不要错过！尤其是，这本经典著作对于书中概念的杰出的介绍方法。我强烈地将这本不可或缺的书推荐给所有学习计算机视觉的人。,中国青年出版社,¥84.30,1703条评论,width: 100%;

Richard, /2018-04-01,"《极简人工智能：你一定爱读的AI通识书》是新一代人工智能定义、核心概念、历史以及zui新成果的科普书，深入浅出地讲述群体智能、神经网络、智能代理、情感机器、智能计算、智能机器人等人工智能核心概念和*新成果。《极简人工智能：你一定爱读的AI通识书》作者1975年开始跟踪研究人工智能近40多年的时间，内容深入浅出，十分扎实。 《极简人工智能：你一定爱读的AI通识书》图文并茂、趣味性强，以极简的方式，把人工智能说透彻！全方位呈现""AI ""全景蓝图 ：群体智能、神经网络、智能代理、情感机器、智能计算、智能机器人",电子工业出版社,¥48.00,610条评论,width: 90%;

黄永昌, /2018-02-25,阿里云栖社区、百度、 蒙牛乳业、神州数码等知名公司的 6 位技术专家力荐 手写识别程序怎么做？ 如何实现人脸识别系统？ 如何过滤垃圾邮件？ 电子商务网站上猜你喜欢的商品是什么原理？如何实现？ 电影网站如何去推荐符合用户喜好的电影？ 如何利用机器学习对消费者的特性进行细分，从而更好地服务各细分市场的消费者？ 银行如何去检测用户的*可能被盗了？ 通过阅读本书，你将了解这些复杂问题背后的原理，甚至你都可以自己解决这些问题。 本书对读者的数学基础要求低，让读者可以以较低的门槛入门机器学习 本书涵盖机器学习的应用场景、编程步骤、Python开发包、算法模型性能评估，以及八大常用算法原理和七大实战案例演练 本书通过近100幅图，将晦涩难懂的数学概念生动地描述出来 以scikit-learn为核心，结合n,机械工业出版社,¥56.60,396条评论,width: 90%;

安德里亚斯·穆勒, /2018-01-01,机器学习已成为许多商业应用和研究项目不可或缺的一部分，海量数据使得机器学习的应用范围远超人们想象。本书将向所有对机器学习技术感兴趣的初学者展示，自己动手构建机器学习解决方案并非难事！ 书中重点讨论机器学习算法的实践而不是背后的数学，全面涵盖在实践中实现机器学习算法的所有重要内容，帮助读者使用Python和scikit-learn库一步一步构建一个有效的机器学习应用。 * 机器学习的基本概念及其应用 * 常用机器学习算法的优缺点 * 机器学习所处理的数据的表示方法，包括重点关注数据的哪些方面 * 模型评估和调参的方法 * 管道的概念 * 处理文本数据的方法，包括文本特有的处理方法 * 进一步提高机器学习和数据科学技能的建议,人民邮电出版社,¥54.50,637条评论,width: 90%;

吴岸城, /2016-06-01,随着AlphaGo与李世石大战的落幕，人工智能成为话题焦点。AlphaGo背后的工作原理 深度学习 也跳入大众的视野。什么是深度学习，什么是神经网络，为何一段程序在精密的围棋大赛中可以大获全胜？人工智终将会取代人类智慧吗？ 本书结合日常生活中的寻常小事，生动形象地阐述了神经网络与深度学习的基本概念、原理和实践，案例丰富，深入浅出。对于正在进入人工智能时代的我们，这些内容无疑可以帮助我们更好地理解人工智能的原理，丰富我们对人类自身的认识，并启发我们对人机智能之争更深一层的思考与探索。 更多计算机好书请关注： 电子工业出版社当当自营店,电子工业出版社,¥56.60,4176条评论,width: 80%;

约阿夫·戈尔德贝格, /2018-05-01,（1）自然语言处理是人工智能领域的一个重要的研究方向，有着巨大的应用需求，但是由于自然语言具有歧义性、动态性和非规范性，同时语言理解通常需要丰富的知识和一定的推理能力，存在极大的挑战。深度学习技术为解决NLP问题提供了一种可能的思路，已成为有效推动自然语言处理技术发展的变革力量。 （2）本书的作者和译者都是国内外NLP领域非常活跃的青年学者，他们关注的方法和技术代表和预示着目前和未来NLP领域的趋势。 （3）本书系统阐述将深度学习技术应用于自然语言处理的方法和技术，深入浅出地介绍了深度学习的基本知识及各种常用的网络结构，并重点介绍了如何使用这些技术处理自然语言。,机械工业出版社,¥66.20,182条评论,width: 80%;

李玉鑑, /2018-08-01,,机械工业出版社,¥75.80,2条评论,width: 90%;

王晓华, /2018-01-01,通过TensorFlow图像处理，全面掌握深度学习模型及应用全面深入讲解反馈神经网络和卷积神经网络理论体系结合深度学习实际案例的实现，掌握TensorFlow程序设计方法和技巧着重深度学习实际应用程序开发能力和解决问题能力的培养,清华大学出版社,¥76.50,590条评论,width: 60%;

陈云, /2018-01-01,本书包含PyTorch基础知识 实战案例两部分 提供notebook，方便读者交互性学习 梳理PyTorch基础知识及重点、难点 翔实的案例，案例包括Kaggle竞赛中经典项目、GAN生成动漫头像、AI滤镜、RNN写诗、图像描述任务 配套源代码文件供下载、读者交流QQ群,电子工业出版社,¥62.40,522条评论,width: 90%;

Wrox国际IT认证项目组, /2017-11-01,大数据是当今科技行业中受欢迎的流行语之一。全世界的企业都已经意识到了可用的大量数据的价值，并努力管理和分析数据、发挥其作用，以建立战略和发展竞争优势。与此同时，这项技术的出现，导致了各种新的和增强的工作角色的演变。 《大数据分析师权v教程》系列的目标是培养新一代的国际化全能大数据分析师，使他们精通数据挖掘、数据操纵和数据分析方面的基本及高-级分析技术，熟悉大数据平台以及业务和行业需求，能够高效地参与大数据分析项目。 本系列旨在使参与者熟悉整个数据分析生命期，通过众多案例分析，使参与者熟悉大数据在不同相关行业中的角色和用途，提供基本及高-级大数据分析以及可视化技术的完整技术诀窍，帮助他们分析数据、创建统计模型和提供业务洞察力。 本系列共两卷，第1卷 大数据分析与预测建模 包含4个模块，涉及,人民邮电出版社,¥103.70,731条评论,width: 90%;

马可·威宁, /2018-06-29,,机械工业出版社,¥114.20,10条评论,width: 70%;

高扬, /2016-06-15,资深大数据专家多年实战经验总结，拒绝晦涩，开启大数据与机器学习妙趣之旅 以降低学习曲线和阅读难度为宗旨，重点讲解了统计学、数据挖掘算法、实际应用案例、数据价值与变现，以及高级拓展技能，清晰勾勒出大数据技术路线与产业蓝图 目前很多大中型企业都有数据分析岗位，尤其是和自己业务结合紧密的分析岗位。企业求贤若渴，而求职者对数据分析岗位望而却步。这就是当前大数据分析市场的尴尬。 原因有三： ●数学基础薄弱：很多应用中的统计学、概率学，成为学习中的巨大阻力。 ●学习成本高：数学和相关的算法过于抽象，布道者往往忽略了,机械工业出版社,¥66.20,1443条评论,width: 90%;

林大贵, /2018-02-01,浅入深地讲解Keras与TensorFlow深度学习类神经网络使用实际的数据集配合范例程序代码介绍各种深度学习算法，并示范如何进行数据预处理、训练数据、建立模型和预测结果,清华大学出版社,¥59.30,507条评论,width: 90%;

郭宪, /2018-01-01,从零起步掌握强化学习技术精髓，称霸人工智能领域！ 《深入浅出强化学习：原理入门》针对初学者的需求，直接分析原理，并辅以编程实践。从解决问题的思路，层层剖析，普及了传统的强化学习基本方法和当前炙手可热的深度强化学习方法，直接将读者带入强化学习的殿堂。读完本书，读者能在熟练掌握原理的基础上，直接上手编程实践。 本书的叙述方式简洁、直接、清晰，值得精读！,电子工业出版社,¥75.80,576条评论,width: 80%;

彭靖田, /2018-05-01,才云科技技术总监、华为深度学习团队系统工程师、华为深度学习云服务的技术负责人联合编写 中国科学院计算技术研究所副研究员/中国大数据技术大会（BDTC）发起人查礼、教育部 长江学者 特聘教授/浙江大学计算机学院院长陈刚作序推荐 才云科技创始人兼CEO张鑫、Google Brain资深工程师周玥枫、华为人工智能领域主任工程师夏命榛、云账户联合创始人兼CTO邹永强、博拉科技创始人兼CEO周公爽、微软亚洲研究院助理研究员王锦鹏、才云科技顾问郑泽宇联合推荐 不仅介绍如何使用TensorFlow，还剖析了系统设计原理,人民邮电出版社,¥54.50,193条评论,width: 100%;

Donald, /2018-06-23,对于读者来说，将当前尖端的人工智能方法和*便携功能的树莓派如此完美结合在一起的书籍并不多见，其中更是涉及Prolog 和Python 语言的实用编程。虽然对人工智能方法和基于树莓派的编程的学习十分枯燥，过程也颇为艰辛，但是学成之后所获得的成就感和实用性是不言而喻的。通过本书，作者呈现了对基于树莓派的机器人和游戏等实际应用的丰富见解和实用解决方案，突出了目前被广泛使用的人工智能方法的优势，以帮助读者决定哪一个方法才*适合自己所面对的应用问题。通过逐步的编码方法，以及循序渐进、深入浅出的描述，读者能够理解多种人工智能方法的基本原理和不同编程语言的实现技巧。《人工智能入门与实战 使用Raspberry Pi和Python演练》配备了非常实用的示例和代码片段，以确保读者能够很好地掌握用于解决实际问题的人工智能方法。《人工智能入,清华大学出版社,¥51.40,5条评论,width: 100%;

华校专, /2017-02-01,时下极热门的职业是数据科学家，而不是传统的信息科学家，也不是大数据工程师。 数据科学家必备的技能中，机器学习和Python 应该是位列前五的两项，学习本书，实现自己的第1个小目标。 更多计算机好书请关注： 电子工业出版社当当自营店,电子工业出版社,¥66.20,1927条评论,width: 90%;

赵永科, /2016-06-01,本书内容来自作者长期学习研究及在阿里一线相关工作经历。 Caffe是应用*广的深度学习框架，非常适于用来练手和入门。 本书侧重解决实际问题及理解深度学习理论，实例、习题丰富。 既狠抓基功又紧扣产业，既详述工具、模型又深入分析源码。,电子工业出版社,¥75.80,2610条评论,width: 90%;

